,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
525,Camila Cabello,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,72,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,226973,4
526,Drake,Don’t Matter To Me (with Michael Jackson),6G8kHiVZ1jW7vHMPVRNZU0,68,0.822,0.318,10,-12.391,1,0.0575,0.493,0.0128,0.11,0.138,102.998,245787,4
527,Nicki Minaj,Barbie Tingz,2qsQ8eVDPmobZpvDxQCVQu,65,0.917,0.679,6,-6.083,1,0.266,0.0867,0.0,0.588,0.453,102.449,191700,4
528,UMI,Remember Me,630Ug0XtmhhFvAKo0PNuEI,66,0.84,0.344,5,-8.613,0,0.0374,0.456,3.36e-05,0.35,0.526,111.994,199227,4
529,Current Joys,Fear,4rHfpAN2CK3H6eRWd7j7E0,66,0.716,0.447,2,-8.314,1,0.0388,0.701,0.429,0.0855,0.506,93.955,216540,4
530,Logic,44 More,3e7Y6sfFlIdBMJhX7wpqVO,65,0.824,0.584,10,-7.098,0,0.221,0.0718,0.0,0.106,0.219,139.965,188600,4
531,Louis The Child,Better Not (with Wafia),7n1940b6kHcaEewFSZXnXa,64,0.783,0.537,9,-2.921,1,0.0795,0.278,0.0,0.229,0.393,113.988,222866,4
532,Jakob,Velvet Light,41o2ydrj7Xm9Yt5odIBqq4,65,0.67,0.419,6,-10.523,0,0.0751,0.75,0.135,0.0976,0.513,77.919,141587,4
533,YoungBoy Never Broke Again,Genie,7E6knQgEAcU0nIjQJuwrIv,62,0.598,0.605,7,-4.92,0,0.452,0.286,0.0,0.0875,0.513,159.517,194792,4
534,Alan Walker,Faded,698ItKASDavgwZ3WjaWjtz,79,0.468,0.627,6,-5.085,1,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,212107,4
535,iamjakehill,Stay,4Xn89qH8uKOumgvAGSvY3U,66,0.634,0.658,7,-8.537,0,0.314,0.814,0.0,0.134,0.86,166.05,185070,4
