Singer,acousticness,danceability,energy,id,instrumentalness,key,liveness,loudness,mode,Song name,speechiness,tempo,track_href,valence
Aastha Gill,0.815,0.478,0.283,54RzXquXaesnhlh8bOtysI,0,0,0.094,-15.296,1,Call Waiting - Reprise,0.204,175.576,https://api.spotify.com/v1/tracks/54RzXquXaesnhlh8bOtysI,0.41
Aastha Gill,0.396,0.822,0.537,1kDITI7aLrBoCAD56f6gwH,0,0,0.112,-7.398,1,Light Kardo Band (feat. Aastha Gill),0.0594,110.011,https://api.spotify.com/v1/tracks/1kDITI7aLrBoCAD56f6gwH,0.516
Aastha Gill,0.000948,0.898,0.366,5nA9q840nwJN7oIyc5TmDc,0.0013,1,0.0605,-10.84,1,Kareja Kareja (feat. Aastha Gill),0.0797,95.011,https://api.spotify.com/v1/tracks/5nA9q840nwJN7oIyc5TmDc,0.0506
Alka Yagnik,0.379,0.643,0.43,6A5wFryRTfXaihsdLwA31C,1.34E-05,5,0.17,-11.978,0,"Hai Mera Dil (From ""Josh"")",0.0331,89.92,https://api.spotify.com/v1/tracks/6A5wFryRTfXaihsdLwA31C,0.565
Alka Yagnik,0.572,0.525,0.448,2ILhVeTkbDAYEvesCCBsNo,1.51E-05,2,0.107,-10.365,0,Tumhi Dekho Naa,0.0391,81.131,https://api.spotify.com/v1/tracks/2ILhVeTkbDAYEvesCCBsNo,0.356
Alka Yagnik,0.587,0.703,0.666,5yDC62x6y5vZc32PzULCeU,5.11E-06,7,0.0924,-8.901,0,Saajanji Ghar Aaye,0.0356,98.214,https://api.spotify.com/v1/tracks/5yDC62x6y5vZc32PzULCeU,0.943
Alka Yagnik,0.419,0.646,0.908,0IYpKZhCeoXB85BslBg3q5,1.57E-06,11,0.381,-4.68,0,Yeh Ladka Hai Allah,0.0988,104.238,https://api.spotify.com/v1/tracks/0IYpKZhCeoXB85BslBg3q5,0.881
Alka Yagnik,0.521,0.602,0.874,1oKo3a7YG86ERB2nlGTzz1,0.0313,5,0.113,-8.529,0,"Tip Tip Barsa Paani (From ""Mohra"")",0.0377,103.198,https://api.spotify.com/v1/tracks/1oKo3a7YG86ERB2nlGTzz1,0.691
Alka Yagnik,0.571,0.623,0.734,307KPUfJ7GREExZZlzTRUc,5.39E-06,0,0.213,-12.254,0,Raghupati Raghav,0.0496,107.187,https://api.spotify.com/v1/tracks/307KPUfJ7GREExZZlzTRUc,0.874
Alka Yagnik,0.0984,0.793,0.468,0lCdndc8chDOcAQqfLvCyE,0,7,0.1,-7.677,0,Mehndi Hai Rachnewali,0.0582,82.017,https://api.spotify.com/v1/tracks/0lCdndc8chDOcAQqfLvCyE,0.871
Alka Yagnik,0.332,0.628,0.665,6jyIymhrFptrIXBjSyQ2HX,1.94E-06,7,0.238,-9.988,0,"Dil Ne Yeh Kaha Hain Dil Se (From ""Dhadkan"")",0.0428,80.709,https://api.spotify.com/v1/tracks/6jyIymhrFptrIXBjSyQ2HX,0.731
Alka Yagnik,0.602,0.547,0.554,4RixtPhUXlci9ad4qIMj23,0.000155,7,0.0735,-11.165,1,Kuch Kuch Hota Hai,0.0374,91.386,https://api.spotify.com/v1/tracks/4RixtPhUXlci9ad4qIMj23,0.848
Alka Yagnik,0.329,0.633,0.691,2bTOQ3zfHVDEBX9ffy3JzR,0.000211,5,0.134,-5.851,1,"Suraj Hua Maddham (From ""Kabhi Khushi Kabhie Gham"")",0.0557,80.002,https://api.spotify.com/v1/tracks/2bTOQ3zfHVDEBX9ffy3JzR,0.57
Alka Yagnik,0.752,0.365,0.407,4uXShFWajd1PTQzlW3P4jj,0.00129,5,0.212,-10.352,1,Kabhi Alvida Naa Kehna,0.0424,149.161,https://api.spotify.com/v1/tracks/4uXShFWajd1PTQzlW3P4jj,0.464
Alka Yagnik,0.45,0.59,0.875,1uzkWkIaWaxzHJgJ4Fy5rO,1.18E-05,5,0.164,-5.294,1,Bole Chudiyan,0.171,96.915,https://api.spotify.com/v1/tracks/1uzkWkIaWaxzHJgJ4Fy5rO,0.736
Alka Yagnik,0.403,0.609,0.935,5thheALMKZqEl479BxqAnL,9.17E-05,0,0.311,-7.839,1,Dil Laga Liya Maine,0.0609,81.03,https://api.spotify.com/v1/tracks/5thheALMKZqEl479BxqAnL,0.917
Alka Yagnik,0.0929,0.589,0.435,3CVsfCGtVJGLH9UQMKmBMC,0,0,0.0677,-14.767,1,Meri Mehbooba,0.156,81.9,https://api.spotify.com/v1/tracks/3CVsfCGtVJGLH9UQMKmBMC,0.595
Alka Yagnik,0.531,0.578,0.546,5b42eTlj8UUI8adpMvdo5H,0,7,0.152,-12.614,1,"Hum to Dil Se Haare (From ""Josh"")",0.0386,82.949,https://api.spotify.com/v1/tracks/5b42eTlj8UUI8adpMvdo5H,0.616
Alka Yagnik,0.0176,0.692,0.652,2lHRIrvLHllVMkSZZq6ndy,0.000367,7,0.0313,-11.002,1,Taal Se Taal,0.0794,95.011,https://api.spotify.com/v1/tracks/2lHRIrvLHllVMkSZZq6ndy,0.511
Alka Yagnik,0.128,0.674,0.661,0Kd2IhGYGYrOATgOOnDBzI,2.03E-05,7,0.283,-7.973,1,Kuch To Hua Hai,0.0618,95.967,https://api.spotify.com/v1/tracks/0Kd2IhGYGYrOATgOOnDBzI,0.458
Alka Yagnik,0.118,0.774,0.934,2oVJZVH1hlxP3MxyDFRSEb,0.00284,5,0.0897,-6.422,1,Neend Churayee Meri,0.0516,105.968,https://api.spotify.com/v1/tracks/2oVJZVH1hlxP3MxyDFRSEb,0.882
Alka Yagnik,0.522,0.637,0.774,6f3C6rJo7zvmfr1h5SRvxg,0.0001,7,0.0901,-9.327,1,Ladki Badi Anjani Hai,0.056,121.108,https://api.spotify.com/v1/tracks/6f3C6rJo7zvmfr1h5SRvxg,0.731
Alka Yagnik,0.625,0.507,0.568,2UtsLJy1O0OFkCgjJGPGfe,5.98E-05,2,0.069,-10.229,1,Tujhe Yaad Na Meri Aayee,0.0483,154.883,https://api.spotify.com/v1/tracks/2UtsLJy1O0OFkCgjJGPGfe,0.781
Alka Yagnik,0.503,0.7,0.687,5L9fLNHSj5SuGvJRljdWJb,1.20E-05,2,0.057,-9.292,1,Koi Mil Gaya,0.0504,136.028,https://api.spotify.com/v1/tracks/5L9fLNHSj5SuGvJRljdWJb,0.815
Alka Yagnik,0.347,0.585,0.467,4lUCGBxMfX94HYiSz9xjMy,0.000201,10,0.0878,-7.957,1,Kal Ho Naa Ho - Sad,0.0307,77.985,https://api.spotify.com/v1/tracks/4lUCGBxMfX94HYiSz9xjMy,0.354
Alka Yagnik,0.244,0.807,0.715,1gZWlVCnwSq9y91hIvkUiB,1.35E-05,4,0.0943,-6.034,1,San Sanana,0.0833,130.936,https://api.spotify.com/v1/tracks/1gZWlVCnwSq9y91hIvkUiB,0.468
Alka Yagnik,0.387,0.627,0.408,4en5tvZ1hIvSGGoRPjIdJE,0,2,0.126,-7.793,1,Mitwa,0.0988,172.006,https://api.spotify.com/v1/tracks/4en5tvZ1hIvSGGoRPjIdJE,0.694
Alka Yagnik,0.0503,0.665,0.908,7CdABTaND3EW5cETakiBD3,0,2,0.0798,-4.804,1,"Say ""Shava Shava""",0.188,98.811,https://api.spotify.com/v1/tracks/7CdABTaND3EW5cETakiBD3,0.694
Alka Yagnik,0.289,0.516,0.757,41Vl2OoM83VVe0eePpsgUf,7.21E-06,2,0.367,-9.404,1,Yeh Ladka Hai Deewana,0.0551,124.061,https://api.spotify.com/v1/tracks/41Vl2OoM83VVe0eePpsgUf,0.711
Alka Yagnik,0.327,0.798,0.636,2fsPrE2NYiHOHPMuWbjvTj,0,6,0.128,-10.52,1,Ramta Jogi,0.0431,139.98,https://api.spotify.com/v1/tracks/2fsPrE2NYiHOHPMuWbjvTj,0.799
Alka Yagnik,0.467,0.475,0.398,1HIrOjfpGrONXgylYv9UTk,0,9,0.0913,-10.785,1,O Rey Chhori,0.0502,87.518,https://api.spotify.com/v1/tracks/1HIrOjfpGrONXgylYv9UTk,0.347
Alka Yagnik,0.707,0.229,0.327,20UvuxJ3vf2aDJjaNpgZZt,0.0014,7,0.0654,-14.188,1,Kuch Kuch Hota Hai - Sad,0.0432,146.384,https://api.spotify.com/v1/tracks/20UvuxJ3vf2aDJjaNpgZZt,0.122
Alka Yagnik,0.236,0.511,0.873,61lenwotkGDF5s13crLVow,0.39,6,0.393,-6.298,1,"Hindi Sad Diamonds - From ""Moulin Rouge"" Soundtrack",0.0503,110.01,https://api.spotify.com/v1/tracks/61lenwotkGDF5s13crLVow,0.25
Amit Trivedi,0.195,0.494,0.712,4TkknEEgy9mpbDtSA9ZrKV,0.00028,2,0.108,-6.605,0,"Ae Zindagi Gale Laga Le - Take, 1",0.0346,156.059,https://api.spotify.com/v1/tracks/4TkknEEgy9mpbDtSA9ZrKV,0.386
Amit Trivedi,0.0304,0.656,0.774,46mXuHxCjDiLoLPsqn24P8,0.00105,6,0.0494,-4.406,0,Shaam Shaandaar,0.0861,133.995,https://api.spotify.com/v1/tracks/46mXuHxCjDiLoLPsqn24P8,0.636
Amit Trivedi,0.0159,0.803,0.931,59nB7okW0qhj6924cjimOH,3.07E-05,1,0.318,-2.471,0,Zero Hour Mashup 2015(Remix By Dj Kiran Kamath),0.0554,130.041,https://api.spotify.com/v1/tracks/59nB7okW0qhj6924cjimOH,0.756
Amit Trivedi,0.25,0.711,0.673,7Hm5FQw1NQtfnTI7JUExaP,0,5,0.214,-5.89,0,Love Mashup,0.0336,109.992,https://api.spotify.com/v1/tracks/7Hm5FQw1NQtfnTI7JUExaP,0.393
Amit Trivedi,0.544,0.624,0.386,0VMigv7BI8OpP6CRSkyKX6,0.0047,4,0.118,-10.502,0,Vastunna Vachestunna - Telugu,0.0764,180.166,https://api.spotify.com/v1/tracks/0VMigv7BI8OpP6CRSkyKX6,0.269
Amit Trivedi,0.186,0.602,0.67,3Ba743TbPb6CGdIIMJuFHj,0.00497,11,0.199,-8.325,0,Nayan Tarse,0.109,159.996,https://api.spotify.com/v1/tracks/3Ba743TbPb6CGdIIMJuFHj,0.429
Amit Trivedi,0.421,0.446,0.398,5XXJqs7f42R8PAY4Xcr0ax,5.48E-05,2,0.112,-11.353,0,Pareshaan,0.0358,149.839,https://api.spotify.com/v1/tracks/5XXJqs7f42R8PAY4Xcr0ax,0.259
Amit Trivedi,0.64,0.559,0.812,0XUViyJgT7d4c8pguzCVFx,0,11,0.124,-5.215,0,Ganpati (From Songs of Faith),0.184,179.996,https://api.spotify.com/v1/tracks/0XUViyJgT7d4c8pguzCVFx,0.668
Amit Trivedi,0.327,0.776,0.824,0SBw9l6ZmEOznl4zBa4nrO,0.0325,11,0.101,-7.9,0,Raavan,0.0471,133.98,https://api.spotify.com/v1/tracks/0SBw9l6ZmEOznl4zBa4nrO,0.363
Amit Trivedi,0.103,0.625,0.848,3gv6ZRvumAlDJufUM93hfv,0.183,8,0.284,-7.245,0,Hungamaa Ho Gaya,0.0456,138.058,https://api.spotify.com/v1/tracks/3gv6ZRvumAlDJufUM93hfv,0.507
Amit Trivedi,0.0394,0.655,0.78,2EJo1cauftQSuq38xWGvwn,0.00293,7,0.0903,-8.922,0,Aankh Micholi,0.028,130.021,https://api.spotify.com/v1/tracks/2EJo1cauftQSuq38xWGvwn,0.386
Amit Trivedi,0.605,0.499,0.547,2n6Y0uDH6hzDj9sWh34f68,6.75E-06,11,0.197,-7.721,0,Lehrein,0.0324,77.942,https://api.spotify.com/v1/tracks/2n6Y0uDH6hzDj9sWh34f68,0.39
Amit Trivedi,0.544,0.673,0.806,3H1vNEDvVDLEqzLbubsrpL,0.00265,7,0.529,-7.653,1,Radhe (From Songs of Faith),0.0636,129.996,https://api.spotify.com/v1/tracks/3H1vNEDvVDLEqzLbubsrpL,0.767
Amit Trivedi,0.436,0.648,0.711,5QtQFSdyZEl0w4iDxAyv76,0,4,0.121,-6.216,1,Namo Namo,0.0304,119.935,https://api.spotify.com/v1/tracks/5QtQFSdyZEl0w4iDxAyv76,0.33
Amit Trivedi,0.159,0.845,0.659,4JQxGJ8jsKW8pOUVoAgOZr,0.0129,9,0.0782,-6.348,1,Naina Da Kya Kasoor,0.0373,125.965,https://api.spotify.com/v1/tracks/4JQxGJ8jsKW8pOUVoAgOZr,0.547
Amit Trivedi,0.06,0.688,0.701,6k3XXCE1ZzwevQlxf8dNaw,0.0301,3,0.271,-7.505,1,Love You Zindagi,0.0298,110.019,https://api.spotify.com/v1/tracks/6k3XXCE1ZzwevQlxf8dNaw,0.385
Amit Trivedi,0.412,0.609,0.531,1U5ZT7c7Sw84xDcoEt0Zaq,0.000324,7,0.291,-7.18,1,Iktara,0.0267,80.012,https://api.spotify.com/v1/tracks/1U5ZT7c7Sw84xDcoEt0Zaq,0.381
Amit Trivedi,0.827,0.722,0.288,5Q58RkKyUafm15Syxg79DW,1.06E-05,4,0.12,-10.767,1,Sham,0.0444,119.899,https://api.spotify.com/v1/tracks/5Q58RkKyUafm15Syxg79DW,0.502
Amit Trivedi,0.436,0.493,0.418,1gEHNfJRSXpDVaEicwRRfe,0.102,9,0.104,-9.693,1,Zinda,0.0261,89.982,https://api.spotify.com/v1/tracks/1gEHNfJRSXpDVaEicwRRfe,0.22
Amit Trivedi,0.551,0.772,0.471,6o1o5SVSqVPLKAnZxRQz4x,0.00182,2,0.131,-7.611,1,Manja,0.0281,106.041,https://api.spotify.com/v1/tracks/6o1o5SVSqVPLKAnZxRQz4x,0.521
Amit Trivedi,0.706,0.46,0.384,12Ud5p81gFX8feLUGpewfV,0.000773,0,0.146,-7.931,1,Pashmina,0.0313,79.877,https://api.spotify.com/v1/tracks/12Ud5p81gFX8feLUGpewfV,0.302
Amit Trivedi,0.271,0.707,0.727,0qPLlSlMNQgI3z6wykpL8R,9.45E-06,7,0.26,-4.151,1,Valentine Mashup 2019 - DJ Notorious & Lijo George,0.0304,95.987,https://api.spotify.com/v1/tracks/0qPLlSlMNQgI3z6wykpL8R,0.5
Amit Trivedi,0.343,0.541,0.576,3CtiRUKVB9X2wi1ZMdaymY,4.13E-05,7,0.0916,-6.029,1,Just Go to Hell Dil,0.029,81.969,https://api.spotify.com/v1/tracks/3CtiRUKVB9X2wi1ZMdaymY,0.249
Amit Trivedi,0.269,0.71,0.783,6qhTVtHIsK8WVf7biagk7O,3.31E-05,10,0.0842,-6.739,1,Moti Veraana (From Songs of Faith),0.075,112.503,https://api.spotify.com/v1/tracks/6qhTVtHIsK8WVf7biagk7O,0.624
Amit Trivedi,0.983,0.671,0.182,3hcwpXiJtR7kwDrWllcH0v,0.0154,0,0.123,-13.321,1,Madhubala,0.0293,107.872,https://api.spotify.com/v1/tracks/3hcwpXiJtR7kwDrWllcH0v,0.336
Amit Trivedi,0.208,0.484,0.551,6qGCJLF0V7SuHTOOGUcDsv,0,10,0.117,-6.6,1,Shubhaarambh,0.0505,115.163,https://api.spotify.com/v1/tracks/6qGCJLF0V7SuHTOOGUcDsv,0.571
Amit Trivedi,0.934,0.507,0.241,3brRp73D8CJ3o9l3KLzLcM,0.0238,0,0.16,-13.975,1,Main Lad Lunga,0.0286,80.028,https://api.spotify.com/v1/tracks/3brRp73D8CJ3o9l3KLzLcM,0.206
Amit Trivedi,0.0495,0.691,0.796,44O26Gv1wQrlUj14PpTolM,0,7,0.333,-4.778,1,"Halka Halka (From ""Fanney Khan"")",0.0387,127.985,https://api.spotify.com/v1/tracks/44O26Gv1wQrlUj14PpTolM,0.541
Amit Trivedi,0.76,0.605,0.437,2uwZSBvQer73esf6tV1wQG,0.00112,2,0.111,-9.023,1,Taarefon Se,0.0293,125.906,https://api.spotify.com/v1/tracks/2uwZSBvQer73esf6tV1wQG,0.301
Amit Trivedi,0.603,0.621,0.359,2JMnWNuFrk6HJHR87QT6vJ,0.000101,7,0.107,-10.602,1,Rusvaaiyaan (From Songs of Love),0.0258,95.966,https://api.spotify.com/v1/tracks/2JMnWNuFrk6HJHR87QT6vJ,0.251
Amit Trivedi,0.156,0.672,0.631,57YNXFZt58cAXgIrxqbFsT,0.000364,2,0.0723,-6.856,1,Jugni,0.0261,129.99,https://api.spotify.com/v1/tracks/57YNXFZt58cAXgIrxqbFsT,0.323
Amit Trivedi,0.455,0.62,0.688,6V3DmOjaoN4hjm8ggcR3HE,7.65E-06,10,0.455,-5.625,1,Valentine Mashup 2017 By DJ Notorious,0.0288,104.01,https://api.spotify.com/v1/tracks/6V3DmOjaoN4hjm8ggcR3HE,0.439
Amit Trivedi,0.387,0.707,0.501,5b9x5sRIzAgXQw0dhGORO1,1.81E-06,4,0.095,-7.389,1,Tu Hi Hai,0.0372,93.978,https://api.spotify.com/v1/tracks/5b9x5sRIzAgXQw0dhGORO1,0.542
Amit Trivedi,0.09,0.909,0.906,7yn0E97MoGLBaW8mqIwqNr,1.25E-05,1,0.287,-3.701,1,Ud-daa Punjab,0.206,121.996,https://api.spotify.com/v1/tracks/7yn0E97MoGLBaW8mqIwqNr,0.625
