name,followers,popularity,uri,link,genres
Shamoon Ismail,227360,45,spotify:artist:5bxVbtf4t5k1QPmy0XDvgv,https://api.spotify.com/v1/artists/5bxVbtf4t5k1QPmy0XDvgv,"indian indie,pakistani indie,pakistani pop"
Annural Khalid,41231,41,spotify:artist:1nCZUpBIcyOxufOx0lPeIW,https://api.spotify.com/v1/artists/1nCZUpBIcyOxufOx0lPeIW,pakistani pop
Shamoon Ismail,227360,45,spotify:artist:5bxVbtf4t5k1QPmy0XDvgv,https://api.spotify.com/v1/artists/5bxVbtf4t5k1QPmy0XDvgv,"indian indie,pakistani indie,pakistani pop"
Shamoon Ismail,227360,45,spotify:artist:5bxVbtf4t5k1QPmy0XDvgv,https://api.spotify.com/v1/artists/5bxVbtf4t5k1QPmy0XDvgv,"indian indie,pakistani indie,pakistani pop"
Shamoon Ismail,227360,45,spotify:artist:5bxVbtf4t5k1QPmy0XDvgv,https://api.spotify.com/v1/artists/5bxVbtf4t5k1QPmy0XDvgv,"indian indie,pakistani indie,pakistani pop"
Shamoon Ismail,227360,45,spotify:artist:5bxVbtf4t5k1QPmy0XDvgv,https://api.spotify.com/v1/artists/5bxVbtf4t5k1QPmy0XDvgv,"indian indie,pakistani indie,pakistani pop"
dhruv,375633,67,spotify:artist:70NcAr4ZtA3FAqU16iQZSb,https://api.spotify.com/v1/artists/70NcAr4ZtA3FAqU16iQZSb,"chill r&b,nyc pop,pop"
dhruv,375633,67,spotify:artist:70NcAr4ZtA3FAqU16iQZSb,https://api.spotify.com/v1/artists/70NcAr4ZtA3FAqU16iQZSb,"chill r&b,nyc pop,pop"
dhruv,375633,67,spotify:artist:70NcAr4ZtA3FAqU16iQZSb,https://api.spotify.com/v1/artists/70NcAr4ZtA3FAqU16iQZSb,"chill r&b,nyc pop,pop"
dhruv,375633,67,spotify:artist:70NcAr4ZtA3FAqU16iQZSb,https://api.spotify.com/v1/artists/70NcAr4ZtA3FAqU16iQZSb,"chill r&b,nyc pop,pop"
dhruv,375633,67,spotify:artist:70NcAr4ZtA3FAqU16iQZSb,https://api.spotify.com/v1/artists/70NcAr4ZtA3FAqU16iQZSb,"chill r&b,nyc pop,pop"
dhruv,375633,67,spotify:artist:70NcAr4ZtA3FAqU16iQZSb,https://api.spotify.com/v1/artists/70NcAr4ZtA3FAqU16iQZSb,"chill r&b,nyc pop,pop"
dhruv,375633,67,spotify:artist:70NcAr4ZtA3FAqU16iQZSb,https://api.spotify.com/v1/artists/70NcAr4ZtA3FAqU16iQZSb,"chill r&b,nyc pop,pop"
dhruv,375633,67,spotify:artist:70NcAr4ZtA3FAqU16iQZSb,https://api.spotify.com/v1/artists/70NcAr4ZtA3FAqU16iQZSb,"chill r&b,nyc pop,pop"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
The Civil Wars,800763,56,spotify:artist:6J7rw7NELJUCThPbAfyLIE,https://api.spotify.com/v1/artists/6J7rw7NELJUCThPbAfyLIE,"acoustic pop,indie folk,neo mellow,new americana,stomp and holler"
Ritviz,1133104,62,spotify:artist:72beYOeW2sb2yfcS4JsRvb,https://api.spotify.com/v1/artists/72beYOeW2sb2yfcS4JsRvb,"desi hip hop,desi pop,hindi indie,indian edm"
Nucleya,1900307,54,spotify:artist:2CkrXQPoBz8jTQ3u0ZeLPh,https://api.spotify.com/v1/artists/2CkrXQPoBz8jTQ3u0ZeLPh,"desi hip hop,desi pop,hindi hip hop,indian edm,indian indie"
Ritviz,1133104,62,spotify:artist:72beYOeW2sb2yfcS4JsRvb,https://api.spotify.com/v1/artists/72beYOeW2sb2yfcS4JsRvb,"desi hip hop,desi pop,hindi indie,indian edm"
Nucleya,1900307,54,spotify:artist:2CkrXQPoBz8jTQ3u0ZeLPh,https://api.spotify.com/v1/artists/2CkrXQPoBz8jTQ3u0ZeLPh,"desi hip hop,desi pop,hindi hip hop,indian edm,indian indie"
Ritviz,1133104,62,spotify:artist:72beYOeW2sb2yfcS4JsRvb,https://api.spotify.com/v1/artists/72beYOeW2sb2yfcS4JsRvb,"desi hip hop,desi pop,hindi indie,indian edm"
Nucleya,1900307,54,spotify:artist:2CkrXQPoBz8jTQ3u0ZeLPh,https://api.spotify.com/v1/artists/2CkrXQPoBz8jTQ3u0ZeLPh,"desi hip hop,desi pop,hindi hip hop,indian edm,indian indie"
Ritviz,1133104,62,spotify:artist:72beYOeW2sb2yfcS4JsRvb,https://api.spotify.com/v1/artists/72beYOeW2sb2yfcS4JsRvb,"desi hip hop,desi pop,hindi indie,indian edm"
Nucleya,1900307,54,spotify:artist:2CkrXQPoBz8jTQ3u0ZeLPh,https://api.spotify.com/v1/artists/2CkrXQPoBz8jTQ3u0ZeLPh,"desi hip hop,desi pop,hindi hip hop,indian edm,indian indie"
